epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.34513,1.71347,5.17354,1.5434,0.85599,0.2,0.49929,0.41234,0.76246,4.08852,1.12983,8.00E-05,8.00E-05,8.00E-05
2,11.5075,1.75644,5.127,1.58699,1,0.1882,0.40569,0.33462,0.81392,4.11575,1.1698,0.000179109,0.000179109,0.000179109
3,16.6417,1.17987,6.97843,1.30081,0.02681,0.2,0.01255,0.00881,1.65477,6.7306,1.72335,0.000277228,0.000277228,0.000277228
4,22.1123,0.8254,3.46013,1.06959,0.00067,0.2,0.00044,0.00015,3.12638,inf,3.56317,0.000374357,0.000374357,0.000374357
5,27.7814,0.76185,2.14215,1.12829,0.00067,0.2,0.00044,0.00015,5.00517,63.3012,4.07536,0.000470496,0.000470496,0.000470496
6,33.2845,0.94751,2.11031,1.22999,0.0005,0.15,0.00045,6.00E-05,4.23119,4.91323,3.84195,0.000565645,0.000565645,0.000565645
7,38.9361,0.85855,1.30968,1.18722,0.0005,0.15,0.00045,6.00E-05,3.80425,inf,3.55105,0.000659804,0.000659804,0.000659804
8,44.3973,0.81372,1.27066,1.12975,0.00017,0.05,9.00E-05,1.00E-05,5.24782,nan,445.324,0.000752973,0.000752973,0.000752973
9,50.2696,0.79791,1.40914,1.15268,0.00083,0.25,0.00052,0.00016,3.30621,nan,308.743,0.000845152,0.000845152,0.000845152
10,55.665,0.82452,1.1542,1.15811,0.00133,0.4,0.00386,0.00096,nan,nan,nan,0.000936341,0.000936341,0.000936341
11,61.1607,0.86168,1.03362,1.15413,0.00133,0.4,0.00386,0.00096,nan,nan,nan,0.00102654,0.00102654,0.00102654
12,66.7032,0.78808,1.0162,1.10545,0.002,0.6,0.00171,0.00028,nan,nan,nan,0.00111575,0.00111575,0.00111575
13,72.0271,0.71543,0.87691,1.01878,0.002,0.6,0.00171,0.00028,nan,nan,nan,0.00120397,0.00120397,0.00120397
14,77.5117,0.80778,0.98771,1.11554,0.002,0.6,0.00171,0.00028,nan,nan,nan,0.0012912,0.0012912,0.0012912
15,82.9368,0.79228,0.82875,1.11237,0.0005,0.15,0.00029,6.00E-05,nan,nan,nan,0.00137744,0.00137744,0.00137744
16,88.3076,0.90855,0.89401,1.32526,0.0005,0.15,0.00029,6.00E-05,nan,nan,nan,0.00146269,0.00146269,0.00146269
17,93.7984,0.77604,0.81286,1.10793,0.0005,0.15,0.00029,6.00E-05,nan,nan,nan,0.00154694,0.00154694,0.00154694
18,99.2351,0.77044,0.79706,1.14226,0.0005,0.15,0.00029,6.00E-05,nan,nan,nan,0.00163021,0.00163021,0.00163021
19,104.606,0.85378,0.72575,1.08978,0.00017,0.05,9.00E-05,1.00E-05,4.31232,290.231,138.915,0.00171249,0.00171249,0.00171249
20,110.009,0.76428,0.7059,1.10947,0.00313,0.2,0.00114,0.00059,3.68683,834.061,30.8155,0.00179378,0.00179378,0.00179378
21,115.416,0.79938,0.69621,1.09172,0.00557,0.5,0.00459,0.00098,3.41313,inf,43.8959,0.001802,0.001802,0.001802
22,120.763,0.81703,0.74996,1.12841,0.00606,0.15,0.00232,0.00048,4.26056,336.799,40.8193,0.0017921,0.0017921,0.0017921
23,126.223,0.70597,0.69418,1.06109,0.12263,0.7,0.09447,0.01816,3.09183,28.4796,20.8346,0.0017822,0.0017822,0.0017822
24,131.8,0.74737,0.61365,1.06322,0.77027,0.85,0.86241,0.33159,1.87047,12.0294,3.74421,0.0017723,0.0017723,0.0017723
25,137.24,0.77558,0.66956,1.10949,0.92184,0.85,0.9421,0.73934,0.87554,11.307,1.47713,0.0017624,0.0017624,0.0017624
26,143.411,0.68365,0.58567,1.0271,0.90907,1,0.995,0.84984,0.66172,4.59678,1.23868,0.0017525,0.0017525,0.0017525
27,149.6,0.76745,0.71782,1.05601,0.94562,0.25,0.34024,0.13859,2.14523,3.3385,4.12211,0.0017426,0.0017426,0.0017426
28,155.022,0.64232,0.56917,1.00778,0.00087,0.05,0.00024,7.00E-05,4.27685,40.1255,35.2348,0.0017327,0.0017327,0.0017327
29,160.306,0.67437,0.72907,1.03794,0.00087,0.05,0.00024,7.00E-05,5.25075,42.0363,56.5352,0.0017228,0.0017228,0.0017228
30,165.61,0.79281,0.6621,1.08031,0.00087,0.05,0.00024,7.00E-05,4.56983,393.75,45.9915,0.0017129,0.0017129,0.0017129
31,171.065,0.74419,0.57894,1.0567,0.00087,0.05,0.00024,7.00E-05,4.93752,24.9757,74.6398,0.001703,0.001703,0.001703
