epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0428,0.83716,1.67699,1.01731,0.99734,1,0.995,0.82786,0.66232,0.92185,0.85365,0.000472725,0.000472725,0.000472725
2,82.3667,0.75956,0.90235,0.99317,0.99758,0.99969,0.995,0.81234,0.73926,0.72296,0.90138,0.000941831,0.000941831,0.000941831
3,121.359,0.71406,0.74683,0.98255,0.99946,1,0.995,0.86558,0.56546,0.5543,0.85316,0.00140368,0.00140368,0.00140368
4,160.511,0.69236,0.63499,0.97295,0.99793,0.99618,0.995,0.81929,0.69218,0.53514,0.88116,0.00139635,0.00139635,0.00139635
5,199.432,0.65867,0.56501,0.96168,0.99182,0.99884,0.995,0.89007,0.47011,0.43869,0.81254,0.00138547,0.00138547,0.00138547
6,238.149,0.63372,0.51811,0.96517,0.99904,1,0.995,0.88913,0.4996,0.38541,0.83752,0.00137459,0.00137459,0.00137459
7,276.926,0.61964,0.48755,0.94818,0.99888,1,0.995,0.87822,0.51248,0.4039,0.83262,0.00136371,0.00136371,0.00136371
8,315.622,0.60074,0.45908,0.93661,0.99917,1,0.995,0.87568,0.53227,0.35841,0.84486,0.00135282,0.00135282,0.00135282
9,354.131,0.57792,0.4336,0.92849,0.99862,1,0.995,0.89441,0.48881,0.35112,0.81957,0.00134194,0.00134194,0.00134194
10,392.748,0.56553,0.43174,0.92761,0.99922,1,0.995,0.92935,0.38388,0.33744,0.80636,0.00133106,0.00133106,0.00133106
11,431.491,0.55799,0.41943,0.91903,0.99961,1,0.995,0.91802,0.42884,0.31873,0.8154,0.00132018,0.00132018,0.00132018
12,469.881,0.55519,0.40876,0.91508,0.99909,1,0.995,0.93029,0.37474,0.30771,0.79632,0.00130929,0.00130929,0.00130929
13,508.464,0.54002,0.38878,0.91048,0.99946,1,0.995,0.9361,0.38347,0.29459,0.80564,0.00129841,0.00129841,0.00129841
14,547.168,0.55878,0.38564,0.91114,0.99947,1,0.995,0.90293,0.46799,0.3005,0.82537,0.00128753,0.00128753,0.00128753
15,585.845,0.52207,0.37004,0.90536,0.99956,1,0.995,0.90768,0.45384,0.3406,0.82788,0.00127665,0.00127665,0.00127665
16,624.273,0.52677,0.36896,0.9041,0.99933,1,0.995,0.90975,0.44421,0.29229,0.823,0.00126576,0.00126576,0.00126576
17,662.64,0.50625,0.35443,0.89794,0.99951,1,0.995,0.91831,0.43397,0.29139,0.81681,0.00125488,0.00125488,0.00125488
18,701.138,0.51194,0.35485,0.904,0.99963,1,0.995,0.93088,0.4041,0.26886,0.80509,0.001244,0.001244,0.001244
19,739.544,0.49274,0.34835,0.89752,0.9992,1,0.995,0.92868,0.39737,0.28073,0.80749,0.00123312,0.00123312,0.00123312
20,777.984,0.49501,0.34139,0.89153,0.99935,1,0.995,0.9314,0.39675,0.25788,0.80132,0.00122223,0.00122223,0.00122223
21,816.283,0.4953,0.33716,0.89278,0.99959,1,0.995,0.96823,0.28218,0.23544,0.77872,0.00121135,0.00121135,0.00121135
22,854.432,0.4967,0.33932,0.89,0.99964,1,0.995,0.92944,0.38911,0.26289,0.79816,0.00120047,0.00120047,0.00120047
23,892.857,0.49352,0.34081,0.89741,0.99915,1,0.995,0.94547,0.35111,0.24976,0.79167,0.00118959,0.00118959,0.00118959
24,931.363,0.47585,0.33277,0.88579,0.99956,1,0.995,0.92682,0.39824,0.27271,0.80906,0.00117871,0.00117871,0.00117871
25,969.7,0.47908,0.33067,0.88203,0.99947,1,0.995,0.90699,0.46554,0.27042,0.81698,0.00116782,0.00116782,0.00116782
26,1008.21,0.48125,0.32845,0.88202,0.99933,1,0.995,0.91426,0.43649,0.26486,0.81198,0.00115694,0.00115694,0.00115694
27,1046.99,0.48426,0.32854,0.88864,0.99957,1,0.995,0.93788,0.36494,0.24689,0.79123,0.00114606,0.00114606,0.00114606
28,1085.26,0.46411,0.31165,0.88819,0.99957,1,0.995,0.92964,0.39742,0.24653,0.7995,0.00113518,0.00113518,0.00113518
29,1123.67,0.46416,0.31473,0.88545,0.99957,1,0.995,0.93063,0.37023,0.23622,0.79273,0.00112429,0.00112429,0.00112429
30,1162.01,0.4679,0.31817,0.88325,0.99951,1,0.995,0.97193,0.30136,0.22191,0.77957,0.00111341,0.00111341,0.00111341
31,1200.26,0.46036,0.3055,0.88017,0.99954,1,0.995,0.93675,0.37464,0.24257,0.79964,0.00110253,0.00110253,0.00110253
32,1238.71,0.46381,0.31186,0.88552,0.99958,1,0.995,0.95834,0.32244,0.23275,0.7826,0.00109165,0.00109165,0.00109165
33,1277.31,0.45413,0.30597,0.88263,0.99946,1,0.995,0.9244,0.40801,0.25738,0.80466,0.00108076,0.00108076,0.00108076
34,1315.98,0.44973,0.30546,0.87422,0.99963,1,0.995,0.92266,0.42178,0.24442,0.80654,0.00106988,0.00106988,0.00106988
35,1354.09,0.45026,0.30442,0.87416,0.99942,1,0.995,0.97181,0.30193,0.22002,0.77708,0.001059,0.001059,0.001059
36,1392.58,0.45517,0.3075,0.8793,0.99958,1,0.995,0.94136,0.36295,0.23379,0.79087,0.00104812,0.00104812,0.00104812
37,1431.07,0.44174,0.29902,0.87738,0.99951,1,0.995,0.97123,0.26842,0.2146,0.77374,0.00103723,0.00103723,0.00103723
38,1469.44,0.4376,0.29321,0.87752,0.99946,1,0.995,0.94013,0.37496,0.22536,0.79941,0.00102635,0.00102635,0.00102635
39,1507.69,0.43782,0.29734,0.8766,0.99962,1,0.995,0.95797,0.34372,0.21846,0.78737,0.00101547,0.00101547,0.00101547
40,1546.33,0.43434,0.28978,0.8717,0.99951,1,0.995,0.97588,0.26947,0.21817,0.77245,0.00100459,0.00100459,0.00100459
41,1585.19,0.42968,0.29022,0.86496,0.99862,1,0.995,0.95817,0.31165,0.21228,0.77942,0.000993705,0.000993705,0.000993705
42,1623.5,0.4402,0.29157,0.87833,0.99958,1,0.995,0.96647,0.29568,0.21301,0.77641,0.000982822,0.000982822,0.000982822
43,1661.73,0.42672,0.28578,0.87313,0.99959,1,0.995,0.94399,0.36442,0.21891,0.79633,0.00097194,0.00097194,0.00097194
44,1699.88,0.42975,0.28757,0.87104,0.99953,1,0.995,0.95925,0.31461,0.2133,0.78748,0.000961057,0.000961057,0.000961057
45,1737.99,0.41751,0.28379,0.872,0.9996,1,0.995,0.96743,0.29756,0.2046,0.78469,0.000950175,0.000950175,0.000950175
46,1776.49,0.42342,0.28545,0.8672,0.9996,1,0.995,0.9553,0.33303,0.20893,0.7856,0.000939293,0.000939293,0.000939293
47,1814.89,0.41506,0.27533,0.86991,0.99958,1,0.995,0.95806,0.32813,0.21134,0.78584,0.00092841,0.00092841,0.00092841
48,1853.45,0.41817,0.28278,0.87122,0.99931,1,0.995,0.94657,0.35605,0.22126,0.79107,0.000917528,0.000917528,0.000917528
49,1891.9,0.42111,0.28436,0.8669,0.99939,1,0.995,0.95952,0.31911,0.21617,0.78239,0.000906646,0.000906646,0.000906646
50,1930.35,0.4269,0.2805,0.86959,0.9996,1,0.995,0.97104,0.30313,0.19932,0.77869,0.000895763,0.000895763,0.000895763
51,1968.72,0.412,0.27288,0.86841,0.99952,1,0.995,0.97593,0.29729,0.19947,0.77924,0.000884881,0.000884881,0.000884881
52,2007.26,0.41512,0.27877,0.86765,0.99964,1,0.995,0.94347,0.3808,0.22218,0.7946,0.000873998,0.000873998,0.000873998
53,2045.63,0.40563,0.27406,0.86223,0.99952,1,0.995,0.96169,0.32816,0.20619,0.7797,0.000863116,0.000863116,0.000863116
54,2083.78,0.40746,0.26817,0.8634,0.99961,1,0.995,0.97621,0.28064,0.19576,0.77313,0.000852234,0.000852234,0.000852234
55,2122.14,0.40299,0.26677,0.8647,0.99961,1,0.995,0.9646,0.30499,0.19486,0.77622,0.000841351,0.000841351,0.000841351
56,2160.56,0.40861,0.26728,0.86919,0.99915,1,0.995,0.97873,0.2782,0.19231,0.7705,0.000830469,0.000830469,0.000830469
57,2199.04,0.40168,0.26927,0.86649,0.99907,1,0.995,0.97952,0.27095,0.19224,0.76936,0.000819586,0.000819586,0.000819586
58,2237.79,0.39856,0.27072,0.86396,0.99945,1,0.995,0.9628,0.32921,0.20119,0.78303,0.000808704,0.000808704,0.000808704
