epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,166.109,0.6623,0.84746,0.93947,0.95211,1,0.96405,0.81881,0.7066,0.80883,1.03025,0.0017228,0.0017228,0.0017228
44,169.974,0.68806,0.80451,0.96614,0.94532,0.95,0.94174,0.75456,0.86519,1.00767,1.09187,0.0017162,0.0017162,0.0017162
45,173.751,0.67941,0.82431,0.9295,0.94762,0.95,0.93413,0.76021,0.76067,0.77971,1.00173,0.0017096,0.0017096,0.0017096
46,177.449,0.60261,0.77489,0.90512,0.94765,0.95,0.97295,0.8056,0.73073,0.69629,0.98708,0.001703,0.001703,0.001703
47,181.364,0.68391,0.76651,0.93913,0.95226,0.99736,0.99024,0.79334,0.79342,0.73363,1.02888,0.0016964,0.0016964,0.0016964
48,185.195,0.63762,0.74198,0.93485,0.94739,0.95,0.96417,0.80067,0.7376,0.71471,0.96983,0.0016898,0.0016898,0.0016898
49,188.842,0.61282,0.68361,0.90162,0.94567,0.95,0.95125,0.80735,0.69425,0.74631,0.96253,0.0016832,0.0016832,0.0016832
50,192.45,0.58222,0.72955,0.88413,0.94504,0.95,0.91538,0.77586,0.70505,0.62397,0.96313,0.0016766,0.0016766,0.0016766
51,196.355,0.59555,0.65788,0.88892,0.94625,0.95,0.93674,0.80006,0.65945,0.60618,0.9527,0.00167,0.00167,0.00167
52,200.122,0.61866,0.66427,0.89711,0.94581,0.95,0.95699,0.79437,0.73097,0.534,0.97914,0.0016634,0.0016634,0.0016634
53,203.74,0.54159,0.62008,0.86264,0.94482,0.95,0.9426,0.77153,0.80718,0.59134,1.03308,0.0016568,0.0016568,0.0016568
54,207.498,0.60366,0.63636,0.93253,0.94659,0.95,0.94278,0.72619,0.83858,0.58414,1.01022,0.0016502,0.0016502,0.0016502
55,211.082,0.61529,0.6421,0.90843,0.94627,0.95,0.98598,0.76116,0.8859,0.59893,1.02162,0.0016436,0.0016436,0.0016436
56,214.939,0.58707,0.61045,0.88906,0.99397,0.95,0.98204,0.8058,0.69719,0.56885,0.97089,0.001637,0.001637,0.001637
57,218.596,0.56936,0.61377,0.89215,0.94668,0.95,0.97833,0.82507,0.7241,0.57532,0.97286,0.0016304,0.0016304,0.0016304
58,222.284,0.62034,0.63971,0.91336,0.94657,0.95,0.96107,0.78865,0.71424,0.58598,0.96805,0.0016238,0.0016238,0.0016238
59,226.061,0.60497,0.60315,0.91101,0.94687,0.95,0.9252,0.76297,0.83285,0.62928,1.01876,0.0016172,0.0016172,0.0016172
60,230.466,0.60106,0.59013,0.90287,0.95224,0.99705,0.9831,0.79047,0.7876,0.51014,0.99974,0.0016106,0.0016106,0.0016106
61,234.134,0.5791,0.54661,0.87886,0.95224,0.99712,0.98548,0.80061,0.76514,0.50065,0.99827,0.001604,0.001604,0.001604
62,238.424,0.63086,0.64358,0.90986,0.94728,0.95,0.975,0.77169,0.75909,0.55178,1.00909,0.0015974,0.0015974,0.0015974
63,242.121,0.5822,0.58557,0.89741,0.94707,0.95,0.93765,0.77991,0.73012,0.50766,1.01476,0.0015908,0.0015908,0.0015908
64,245.88,0.59327,0.56656,0.92075,0.94737,0.95,0.97321,0.80116,0.70867,0.52181,0.96921,0.0015842,0.0015842,0.0015842
65,249.679,0.57941,0.55941,0.91589,0.94795,0.95,0.98071,0.79661,0.70599,0.51071,0.96409,0.0015776,0.0015776,0.0015776
66,253.257,0.6365,0.58161,0.91339,0.94742,0.95,0.9675,0.81235,0.66297,0.54473,0.97064,0.001571,0.001571,0.001571
67,256.92,0.67599,0.58988,0.93171,0.9477,0.95,0.97948,0.81851,0.62899,0.5467,0.95965,0.0015644,0.0015644,0.0015644
68,260.71,0.59702,0.58422,0.90328,0.9523,0.99836,0.99262,0.82426,0.72553,0.48053,0.98254,0.0015578,0.0015578,0.0015578
69,264.333,0.61372,0.56194,0.90049,0.95226,0.99754,0.99262,0.86664,0.60387,0.46902,0.94781,0.0015512,0.0015512,0.0015512
70,268.082,0.60654,0.58444,0.88951,0.95234,0.99922,0.99262,0.86785,0.58545,0.45388,0.95079,0.0015446,0.0015446,0.0015446
71,271.735,0.63878,0.54983,0.90966,0.95232,0.99865,0.99262,0.82015,0.60976,0.45005,0.95317,0.001538,0.001538,0.001538
72,275.507,0.57675,0.54056,0.90676,0.99763,1,0.995,0.80295,0.69387,0.48727,0.96806,0.0015314,0.0015314,0.0015314
73,279.143,0.5897,0.62085,0.9254,0.99584,1,0.995,0.79637,0.77109,0.49514,0.9873,0.0015248,0.0015248,0.0015248
74,282.833,0.64117,0.62516,0.93687,0.95219,0.9959,0.99262,0.81097,0.76298,0.54493,0.97636,0.0015182,0.0015182,0.0015182
75,286.538,0.63524,0.56883,0.91826,0.94883,0.95,0.99045,0.84837,0.69016,0.5257,0.95367,0.0015116,0.0015116,0.0015116
76,290.338,0.65552,0.57994,0.94051,0.95229,0.99812,0.99262,0.84772,0.69367,0.4774,0.96722,0.001505,0.001505,0.001505
77,293.978,0.58857,0.56033,0.91281,0.95227,0.99767,0.99262,0.86664,0.64063,0.48131,0.94255,0.0014984,0.0014984,0.0014984
78,297.758,0.55147,0.4991,0.89226,0.95062,1,0.99262,0.87309,0.58517,0.45026,0.92721,0.0014918,0.0014918,0.0014918
79,301.4,0.58,0.50978,0.9014,0.94954,1,0.99262,0.87789,0.59857,0.42928,0.928,0.0014852,0.0014852,0.0014852
80,306.069,0.56394,0.47446,0.88101,0.95216,0.99538,0.99262,0.83189,0.64845,0.48649,0.94141,0.0014786,0.0014786,0.0014786
81,309.663,0.59676,0.4951,0.88625,0.95027,1,0.99262,0.85887,0.60591,0.47772,0.94053,0.001472,0.001472,0.001472
82,313.304,0.60231,0.55441,0.90102,0.94958,1,0.99262,0.88423,0.55804,0.4377,0.92869,0.0014654,0.0014654,0.0014654
83,316.943,0.56805,0.51792,0.89344,0.95068,1,0.98548,0.85487,0.59746,0.46448,0.92725,0.0014588,0.0014588,0.0014588
84,320.773,0.53995,0.47426,0.87809,0.95226,0.99746,0.98548,0.80794,0.69766,0.49322,0.94129,0.0014522,0.0014522,0.0014522
85,324.45,0.55686,0.48557,0.87767,0.95227,0.99769,0.98071,0.80328,0.70162,0.5228,0.94035,0.0014456,0.0014456,0.0014456
86,328.037,0.56934,0.51264,0.89391,0.95229,0.99817,0.98071,0.82211,0.65696,0.49749,0.93677,0.001439,0.001439,0.001439
87,331.613,0.54392,0.46425,0.87339,0.95235,0.9993,0.98071,0.82878,0.65467,0.46765,0.94761,0.0014324,0.0014324,0.0014324
88,335.356,0.54116,0.47844,0.88141,0.95231,0.99857,0.9831,0.84728,0.65002,0.46079,0.96334,0.0014258,0.0014258,0.0014258
89,339.003,0.56667,0.47211,0.87936,0.94988,1,0.99262,0.84471,0.68327,0.46009,0.98416,0.0014192,0.0014192,0.0014192
90,342.671,0.61278,0.54104,0.95526,0.94965,1,0.99262,0.86288,0.65031,0.44996,0.97794,0.0014126,0.0014126,0.0014126
91,346.333,0.59183,0.47135,0.92299,0.94978,1,0.99262,0.84972,0.64328,0.41767,0.98037,0.001406,0.001406,0.001406
