X,Y,Frame
129.61680603027344,484.57806396484375,0
131.2602996826172,475.1894836425781,1
130.7216796875,477.951171875,2
135.49061584472656,475.46832275390625,3
140.47169494628906,473.434326171875,4
139.24407958984375,478.3968811035156,5
141.68341064453125,478.76947021484375,6
140.7364959716797,483.8851013183594,7
135.84742736816406,495.4022521972656,8
135.04617309570312,508.28826904296875,9
133.45433044433594,532.2298583984375,10
131.9199676513672,567.4534912109375,11
133.5464324951172,610.7111206054688,12
141.68226623535156,652.1565551757812,13
140.65792846679688,705.1121215820312,14
142.88951110839844,752.5020751953125,15
149.38563537597656,797.4061889648438,16
151.822265625,840.3599243164062,17
152.985595703125,883.0595092773438,18
156.07327270507812,923.556640625,19
159.13510131835938,963.052001953125,20
157.33433532714844,1001.8468627929688,21
150.60562133789062,1044.8382568359375,22
161.13978576660156,1067.264892578125,23
164.91549682617188,1089.3231201171875,24
161.4221649169922,1109.698486328125,25
164.33694458007812,1116.3594970703125,26
175.39468383789062,1100.001220703125,27
180.3785400390625,1069.4024658203125,28
170.1297149658203,1043.90576171875,29
171.95147705078125,1003.831787109375,30
165.67323303222656,971.3167724609375,31
164.26681518554688,928.1747436523438,32
160.7981719970703,884.2689819335938,33
164.22821044921875,837.9584350585938,34
160.93238830566406,800.4998168945312,35
154.634033203125,771.0740356445312,36
150.02529907226562,747.8032836914062,37
151.5130157470703,723.9080200195312,38
143.2972869873047,716.332763671875,39
140.43643188476562,716.5685424804688,40
142.0574493408203,717.0687255859375,41
143.41943359375,722.5764770507812,42
154.08302307128906,719.9349365234375,43
170.6634979248047,715.1686401367188,44
192.6792449951172,712.3870239257812,45
218.32191467285156,714.7924194335938,46
243.29013061523438,730.2030639648438,47
277.91107177734375,739.3328247070312,48
317.35748291015625,745.973388671875,49
355.25653076171875,758.7037963867188,50
394.2785949707031,771.9949340820312,51
430.9678649902344,782.4009399414062,52
460.20977783203125,793.02587890625,53
491.25384521484375,797.6965942382812,54
513.06201171875,802.910400390625,55
524.4863891601562,806.4132690429688,56
532.3372192382812,802.2474975585938,57
535.2979125976562,787.9896240234375,58
544.8204345703125,746.2238159179688,59
542.4251708984375,700.4657592773438,60
533.1583251953125,660.8475952148438,61
540.6044311523438,603.105712890625,62
531.5947875976562,560.2525024414062,63
524.238525390625,525.7430419921875,64
515.9566040039062,500.8457336425781,65
510.7511291503906,477.4958190917969,66
517.8627319335938,450.5281066894531,67
506.0535583496094,456.73736572265625,68
494.2257385253906,483.8392333984375,69
485.3943786621094,523.8438720703125,70
477.7646789550781,580.6925659179688,71
478.68572998046875,637.2677001953125,72
488.1122131347656,689.7394409179688,73
503.77178955078125,735.6664428710938,74
529.0870361328125,769.2486572265625,75
549.2364501953125,802.679931640625,76
551.9686889648438,847.5653686523438,77
558.149658203125,885.0338745117188,78
561.5692138671875,916.9754028320312,79
556.9780883789062,954.108154296875,80
556.0950927734375,984.5247192382812,81
557.7276000976562,1010.3834838867188,82
552.5687255859375,1041.0472412109375,83
549.1889038085938,1067.980224609375,84
546.4679565429688,1089.7884521484375,85
547.5570678710938,1103.88623046875,86
547.4019165039062,1116.5643310546875,87
554.5579833984375,1111.224853515625,88
