X,Y,Frame
588.0946655273438,793.0947265625,0
618.6473388671875,818.6473388671875,1
622.9920654296875,813.9357299804688,2
614.607177734375,815.607177734375,3
581.5527954101562,825.2838134765625,4
539.4419555664062,832.4419555664062,5
498.1509094238281,833.94384765625,6
458.4232177734375,839.22900390625,7
423.758544921875,837.7949829101562,8
388.8368835449219,827.7738037109375,9
348.6128845214844,819.6693115234375,10
309.7959289550781,809.7835693359375,11
273.5698547363281,803.57177734375,12
235.84719848632812,805.06982421875,13
210.6112518310547,800.488037109375,14
181.99253845214844,804.9530029296875,15
155.6051788330078,813.5478515625,16
139.80178833007812,812.182373046875,17
129.86172485351562,807.8616943359375,18
119.50310516357422,807.2830810546875,19
113.34220123291016,807.5966186523438,20
120.89857482910156,799.9183349609375,21
138.9230499267578,781.4119262695312,22
160.93118286132812,758.0917358398438,23
183.42529296875,737.2015991210938,24
218.82528686523438,706.8252563476562,25
247.66607666015625,676.6660766601562,26
293.64349365234375,618.6434936523438,27
326.45123291015625,571.5004272460938,28
356.6023864746094,522.60498046875,29
378.6123046875,474.7173767089844,30
401.4288330078125,419.37451171875,31
416.7478332519531,370.4660949707031,32
423.6140441894531,337.01385498046875,33
416.266845703125,327.3472900390625,34
404.49456787109375,336.2459716796875,35
386.16015625,382.09423828125,36
374.94183349609375,456.59625244140625,37
381.71173095703125,533.8036499023438,38
394.4371337890625,618.2601318359375,39
404.140625,712.2252197265625,40
423.8362731933594,795.3888549804688,41
440.9237060546875,870.6195068359375,42
449.9434509277344,942.39990234375,43
459.1946716308594,1003.7752685546875,44
476.01727294921875,1045.017333984375,45
487.2840576171875,1074.5177001953125,46
490.63702392578125,1099.6370849609375,47
493.5914001464844,1120.8125,48
495.0405578613281,1135.04052734375,49
494.56622314453125,1145.58349609375,50
494.8631896972656,1153.8184814453125,51
496.1432189941406,1156.1431884765625,52
493.59637451171875,1157.4527587890625,53
490.9630432128906,1152.9630126953125,54
491.8768310546875,1143.632080078125,55
493.0228271484375,1134.55908203125,56
490.934326171875,1129.384765625,57
488.7124938964844,1121.3685302734375,0
