X,Y,Frame
152.27252197265625,1069.32275390625,0
153.16586303710938,1053.7037353515625,1
155.41656494140625,1043.2347412109375,2
149.18524169921875,1045.3717041015625,3
146.08602905273438,1047.1336669921875,4
154.4905242919922,1040.06201171875,5
166.10655212402344,1019.6776733398438,6
182.35140991210938,971.6891479492188,7
196.6103973388672,913.6748657226562,8
189.57687377929688,866.5797119140625,9
186.02322387695312,815.4267578125,10
185.76210021972656,764.5216674804688,11
195.4687957763672,707.6415405273438,12
194.8645477294922,660.7735595703125,13
187.199462890625,622.8619995117188,14
197.49195861816406,573.0692138671875,15
192.95790100097656,538.6386108398438,16
184.21295166015625,509.8431396484375,17
179.26605224609375,479.00531005859375,18
183.8828582763672,447.1022033691406,19
186.61436462402344,415.2491760253906,20
185.51376342773438,389.0451965332031,21
183.60345458984375,368.45257568359375,22
190.98390197753906,346.4145812988281,23
202.45388793945312,322.08636474609375,24
213.56185913085938,309.14697265625,25
238.88796997070312,294.4733581542969,26
270.9561767578125,281.00628662109375,27
297.8714904785156,282.6598205566406,28
328.0609130859375,290.7289733886719,29
359.2485046386719,302.11260986328125,30
393.31109619140625,321.1693420410156,31
433.57745361328125,339.41546630859375,32
473.4889221191406,364.3539733886719,33
520.0324096679688,385.83392333984375,34
564.3521728515625,413.17254638671875,35
596.186279296875,447.3474426269531,36
614.4396362304688,485.196044921875,37
597.4764404296875,553.7102661132812,38
568.9420166015625,635.9962158203125,39
552.7861328125,696.8744506835938,40
542.7910766601562,729.01708984375,41
513.7825927734375,754.5567626953125,42
461.2796936035156,783.4774780273438,43
427.5486145019531,787.0748291015625,44
394.6241455078125,779.3383178710938,45
355.89678955078125,768.2861938476562,46
322.65606689453125,748.0383911132812,47
290.0534362792969,732.2947998046875,48
259.1023864746094,715.5035400390625,49
237.099853515625,701.2167358398438,50
222.75833129882812,688.838623046875,51
206.9730224609375,690.2105102539062,52
205.69773864746094,683.5833740234375,53
198.9628448486328,684.0689086914062,54
197.42648315429688,680.3932495117188,55
195.3355712890625,679.3604736328125,56
198.6531524658203,674.4639282226562,57
196.7830047607422,674.8240356445312,58
201.7941131591797,671.6058349609375,59
204.09271240234375,674.1080932617188,0
