epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5928,0.83716,1.67699,1.01731,0.99734,1,0.995,0.82786,0.66232,0.92185,0.85365,0.000472725,0.000472725,0.000472725
2,83.5892,0.7572,0.90128,0.98946,0.99573,0.99889,0.995,0.86383,0.58545,0.66595,0.84911,0.000942794,0.000942794,0.000942794
3,123.109,0.71762,0.75193,0.98695,0.99882,1,0.995,0.83827,0.64305,0.56945,0.88073,0.00140658,0.00140658,0.00140658
4,162.645,0.69624,0.63684,0.97416,0.99623,0.99281,0.995,0.82682,0.65783,0.48101,0.87766,0.00140071,0.00140071,0.00140071
5,201.999,0.66737,0.56514,0.96749,0.99699,1,0.995,0.85382,0.57217,0.4491,0.86341,0.00139127,0.00139127,0.00139127
6,241.439,0.62563,0.50897,0.96144,0.99894,1,0.995,0.87431,0.57385,0.41266,0.85014,0.00138184,0.00138184,0.00138184
7,280.572,0.61937,0.48305,0.95125,0.79387,0.88739,0.95356,0.79779,0.65788,2.3586,0.87999,0.00137241,0.00137241,0.00137241
8,319.56,0.60716,0.45716,0.93783,0.99819,1,0.995,0.89872,0.45266,0.36899,0.81274,0.00136298,0.00136298,0.00136298
9,358.674,0.58557,0.44293,0.9359,0.9996,1,0.995,0.87867,0.51615,0.34945,0.82711,0.00135355,0.00135355,0.00135355
10,397.533,0.57128,0.42465,0.93019,0.97619,0.98621,0.99466,0.84849,0.64074,0.44753,0.86923,0.00134412,0.00134412,0.00134412
11,436.606,0.56878,0.41979,0.92914,0.99933,1,0.995,0.90707,0.45363,0.32282,0.81285,0.00133469,0.00133469,0.00133469
12,475.501,0.56827,0.42021,0.93006,0.99905,1,0.995,0.93711,0.36191,0.30228,0.79335,0.00132525,0.00132525,0.00132525
13,514.561,0.55169,0.40346,0.92431,0.99906,1,0.995,0.93201,0.36566,1.21764,0.7936,0.00131582,0.00131582,0.00131582
14,553.741,0.55664,0.40142,0.91652,0.99919,1,0.995,0.92292,0.41505,0.3278,0.8011,0.00130639,0.00130639,0.00130639
15,592.679,0.53096,0.38464,0.91133,0.9995,1,0.995,0.94732,0.34605,0.28728,0.7965,0.00129696,0.00129696,0.00129696
16,631.675,0.53473,0.38012,0.90979,0.99941,1,0.995,0.9246,0.3907,0.28249,0.80544,0.00128753,0.00128753,0.00128753
17,670.717,0.50901,0.36051,0.90266,0.99951,1,0.995,0.93078,0.39716,0.28209,0.80341,0.0012781,0.0012781,0.0012781
18,709.524,0.51177,0.36058,0.90789,0.99962,1,0.995,0.90212,0.47856,0.31164,0.83655,0.00126867,0.00126867,0.00126867
19,748.151,0.50348,0.36455,0.90638,0.9996,1,0.995,0.92463,0.39303,0.27753,0.80711,0.00125923,0.00125923,0.00125923
20,787.132,0.4992,0.34879,0.89386,0.99928,1,0.995,0.94287,0.37426,0.27448,0.79568,0.0012498,0.0012498,0.0012498
21,825.917,0.50369,0.35008,0.89834,0.9994,1,0.995,0.95971,0.30983,0.24535,0.78783,0.00124037,0.00124037,0.00124037
22,864.512,0.51922,0.34409,0.89762,0.99907,1,0.995,0.90846,0.43021,0.74234,0.81425,0.00123094,0.00123094,0.00123094
23,903.297,0.50725,0.33733,0.90152,0.99957,1,0.995,0.91739,0.42502,0.26243,0.8152,0.00122151,0.00122151,0.00122151
24,942.158,0.48114,0.33195,0.89129,0.99912,1,0.995,0.89273,0.46734,0.28068,0.83535,0.00121208,0.00121208,0.00121208
25,981.077,0.48202,0.32944,0.88672,0.99957,1,0.995,0.90206,0.49219,0.28208,0.82545,0.00120265,0.00120265,0.00120265
26,1019.94,0.48253,0.33281,0.88567,0.99961,1,0.995,0.91188,0.42994,0.26648,0.82279,0.00119322,0.00119322,0.00119322
27,1059.12,0.48464,0.33196,0.89415,0.99957,1,0.995,0.93629,0.3652,0.2554,0.794,0.00118378,0.00118378,0.00118378
28,1097.75,0.46152,0.31589,0.88896,0.99961,1,0.995,0.92102,0.40862,0.25056,0.80464,0.00117435,0.00117435,0.00117435
29,1136.54,0.46671,0.31615,0.88662,0.99957,1,0.995,0.93477,0.38907,0.24412,0.79523,0.00116492,0.00116492,0.00116492
30,1175.42,0.48369,0.32375,0.88783,0.99949,1,0.995,0.95511,0.31253,0.23385,0.78159,0.00115549,0.00115549,0.00115549
31,1214.14,0.46041,0.31183,0.87864,0.99965,1,0.995,0.95734,0.34115,0.23348,0.78757,0.00114606,0.00114606,0.00114606
32,1252.91,0.46759,0.31692,0.88682,0.99957,1,0.995,0.90544,0.47145,0.27894,0.81779,0.00113663,0.00113663,0.00113663
33,1291.74,0.46379,0.31448,0.88408,0.99947,1,0.995,0.92593,0.39563,0.24949,0.79905,0.0011272,0.0011272,0.0011272
34,1330.81,0.45181,0.30817,0.87403,0.99953,1,0.995,0.92691,0.394,0.24031,0.79596,0.00111776,0.00111776,0.00111776
35,1369.36,0.45304,0.3046,0.87295,0.99963,1,0.995,0.96466,0.29492,0.22174,0.78035,0.00110833,0.00110833,0.00110833
36,1408.61,0.46124,0.31061,0.88197,0.9993,1,0.995,0.96435,0.3184,0.2312,0.77967,0.0010989,0.0010989,0.0010989
