X,Y,Frame
158.98373413085938,535.8030395507812,0
147.16990661621094,520.1211547851562,1
144.39340209960938,506.1095275878906,2
139.44000244140625,500.43463134765625,3
140.28016662597656,496.15692138671875,4
146.064697265625,488.9001770019531,5
154.14871215820312,488.9566650390625,6
167.67230224609375,496.6042175292969,7
180.41551208496094,518.672607421875,8
194.18240356445312,557.5155029296875,9
210.94715881347656,610.89208984375,10
240.4883270263672,663.7886352539062,11
275.5325622558594,716.9843139648438,12
312.5001220703125,769.6947021484375,13
347.8919372558594,830.5196533203125,14
393.0392150878906,875.0142822265625,15
433.2647399902344,914.2063598632812,16
469.39410400390625,946.3262939453125,17
502.125244140625,972.9390258789062,18
537.6336059570312,995.451171875,19
571.4823608398438,1016.1221923828125,20
598.7980346679688,1037.7147216796875,21
622.3158569335938,1061.3021240234375,22
639.3278198242188,1080.346435546875,23
647.1067504882812,1087.063720703125,24
638.3923950195312,1075.3455810546875,25
610.963134765625,1046.923583984375,26
573.8153686523438,1013.8615112304688,27
530.0205688476562,978.2147216796875,28
486.1912841796875,942.28515625,29
446.8901062011719,911.0780029296875,30
422.95623779296875,882.8898315429688,31
414.68914794921875,861.327880859375,32
406.9739990234375,848.9049072265625,33
397.3390808105469,839.3265380859375,34
390.6849365234375,823.5595703125,35
384.1612854003906,815.10107421875,36
407.2001647949219,786.52490234375,37
422.8557434082031,763.8812255859375,38
442.6015319824219,734.9798583984375,39
471.7949523925781,699.1640014648438,40
493.00946044921875,669.3758544921875,41
514.545654296875,640.321533203125,42
534.415283203125,612.8453979492188,43
551.939208984375,583.8497924804688,44
565.4678344726562,560.0423583984375,45
582.8216552734375,535.8855590820312,46
595.48486328125,515.121826171875,47
615.506591796875,483.32757568359375,48
625.2866821289062,459.9393310546875,49
608.8358154296875,468.6546936035156,50
585.1036987304688,500.9134521484375,51
546.6448364257812,557.2169799804688,52
524.8295288085938,601.74658203125,53
503.0001525878906,652.9588623046875,54
469.7740783691406,705.9241943359375,55
447.60479736328125,743.1592407226562,56
432.7802429199219,777.4234619140625,57
416.3888854980469,814.7614135742188,58
406.44482421875,841.9150390625,59
391.41326904296875,867.4177856445312,60
372.3772888183594,885.839599609375,61
355.4874572753906,895.098388671875,62
321.8601989746094,917.554443359375,63
289.9337158203125,936.143798828125,64
261.2009582519531,954.7649536132812,65
242.6709747314453,968.3800659179688,66
224.50599670410156,984.8934326171875,67
209.4354705810547,1004.1823120117188,68
203.33261108398438,1016.4990234375,69
189.6703338623047,1038.43505859375,70
181.82313537597656,1053.03466796875,71
173.2355499267578,1067.667724609375,72
167.8509979248047,1076.9560546875,73
163.39126586914062,1082.4755859375,74
166.2998046875,1079.1312255859375,75
161.7983856201172,1082.8406982421875,76
160.73373413085938,1083.6728515625,77
163.02194213867188,1082.77294921875,78
157.74411010742188,1091.847412109375,79
156.91490173339844,1096.8990478515625,80
161.46763610839844,1094.290283203125,81
160.9645233154297,1093.802978515625,82
158.02525329589844,1096.0111083984375,83
155.9259796142578,1094.7889404296875,0
