X,Y,Frame
177.17855834960938,587.1785888671875,0
193.7735137939453,583.7734985351562,1
195.4581298828125,582.6975708007812,2
193.31837463378906,588.318359375,3
194.22596740722656,590.241943359375,4
209.3529052734375,570.3529052734375,5
227.4219970703125,547.760986328125,6
270.2253112792969,501.0296936035156,7
312.34423828125,449.613037109375,8
356.0224609375,389.24609375,9
387.4426574707031,347.7954406738281,10
410.6288757324219,323.6376647949219,11
427.23992919921875,307.4227600097656,12
417.4021301269531,331.31549072265625,13
394.6871032714844,401.32635498046875,14
383.113525390625,493.4626159667969,15
386.0564270019531,581.8102416992188,16
400.27471923828125,657.4860229492188,17
415.46746826171875,721.4674682617188,18
421.63092041015625,796.5286865234375,19
421.7016296386719,888.5455932617188,20
444.29461669921875,949.115234375,21
460.3211669921875,1000.0641479492188,22
471.4294128417969,1045.783447265625,23
469.54864501953125,1102.902099609375,24
477.89263916015625,1134.8927001953125,25
486.5254211425781,1144.525390625,26
490.5422668457031,1140.542236328125,27
485.68505859375,1139.75146484375,28
476.2892150878906,1133.0465087890625,29
470.4480285644531,1118.2142333984375,30
