X,Y,Frame
387.36700439453125,853.2120971679688,2
365.3225402832031,912.322509765625,3
348.2973937988281,992.16259765625,4
410.96490478515625,896.9649047851562,5
458.54864501953125,784.3198852539062,6
363.7326354980469,905.14794921875,7
304.6176452636719,1038.572021484375,8
347.2948913574219,1019.1199340820312,9
410.98956298828125,924.68017578125,10
470.97076416015625,811.80419921875,11
463.84161376953125,711.8546752929688,12
393.2554016113281,667.3114013671875,13
281.7134094238281,759.40869140625,14
261.79730224609375,825.7549438476562,15
335.80950927734375,755.59765625,16
358.170166015625,685.3278198242188,17
290.1900939941406,705.1901245117188,18
210.81813049316406,775.6489868164062,19
174.44961547851562,848.1777954101562,20
184.07534790039062,899.7990112304688,21
259.2504577636719,865.1781616210938,22
325.8409118652344,788.9425659179688,23
321.0635986328125,729.755615234375,24
222.4249725341797,798.4249877929688,25
176.63389587402344,872.6339111328125,26
248.71336364746094,818.71337890625,27
282.24237060546875,723.8843383789062,28
251.2659454345703,727.5598754882812,29
362.4919128417969,639.8965454101562,30
400.2353210449219,623.838134765625,31
434.007080078125,595.6749267578125,32
384.3863220214844,615.41162109375,33
338.45526123046875,619.1599731445312,34
221.02105712890625,788.519287109375,35
269.1132507324219,775.2742309570312,36
330.91094970703125,707.2770385742188,37
258.81707763671875,817.537353515625,38
274.09722900390625,850.47509765625,39
287.8154602050781,861.7454223632812,40
293.2926330566406,869.2733154296875,41
