X,Y,Frame
314.4061584472656,543.7747192382812,0
276.2017822265625,519.5770874023438,1
249.90576171875,504.0513916015625,2
230.3780975341797,498.7505187988281,3
213.92926025390625,507.2547607421875,4
201.19241333007812,531.1255493164062,5
199.4464569091797,557.8068237304688,6
192.61575317382812,604.9736328125,7
192.08314514160156,659.7794799804688,8
206.2696533203125,700.8982543945312,9
218.87644958496094,744.2401123046875,10
231.6493682861328,793.5057373046875,11
285.895751953125,865.0750122070312,12
388.8583984375,867.1773071289062,13
505.3449401855469,830.3228149414062,14
621.3418579101562,770.83349609375,15
627.8087158203125,619.7879638671875,16
563.3333129882812,564.6742553710938,17
517.8397216796875,514.8321533203125,18
480.0257568359375,480.2041931152344,19
450.7085876464844,461.8994445800781,20
434.6078796386719,446.7210693359375,21
424.09619140625,442.2188720703125,22
418.44921875,448.8489685058594,23
