X,Y,Frame
237.67294311523438,553.3379516601562,0
247.17555236816406,551.024169921875,1
250.0189971923828,554.0311279296875,2
253.6985626220703,556.6892700195312,3
254.36524963378906,561.47900390625,4
253.7628173828125,568.8699340820312,5
252.61094665527344,579.9278564453125,6
250.81378173828125,595.033203125,7
248.4610137939453,616.0545043945312,8
244.86497497558594,647.310791015625,9
252.0587921142578,670.4425659179688,10
254.90098571777344,706.3148803710938,11
264.22015380859375,737.7467041015625,12
247.9156494140625,838.4108276367188,13
275.3032531738281,885.728759765625,14
297.48175048828125,925.6663208007812,15
316.2535095214844,953.3872680664062,16
330.62799072265625,969.6025390625,17
339.15789794921875,980.1118774414062,18
341.3965148925781,987.41357421875,19
369.1408996582031,951.4097290039062,20
429.3291320800781,871.4716186523438,21
599.163330078125,690.1321411132812,22
685.624267578125,591.262451171875,23
720.1986694335938,542.2037963867188,24
708.5587158203125,543.819580078125,25
704.6246337890625,536.711669921875,26
684.9293212890625,557.5403442382812,27
675.429931640625,573.2274169921875,28
