X,Y,Frame
467.7430725097656,583.7430419921875,0
499.875244140625,593.875244140625,1
501.39678955078125,600.777099609375,2
505.542236328125,604.542236328125,3
506.3726806640625,595.2173461914062,4
490.2475280761719,600.2474975585938,5
464.4739074707031,607.1529541015625,6
440.2281188964844,607.0557861328125,7
400.9876403808594,613.3700561523438,8
362.01904296875,619.3550415039062,9
328.0713195800781,620.4342651367188,10
300.73272705078125,613.726806640625,11
277.1584777832031,608.12109375,12
256.97344970703125,603.8574829101562,13
239.55581665039062,598.4523315429688,14
228.27220153808594,595.4143676757812,15
224.33377075195312,598.4743041992188,16
220.1924285888672,618.0601196289062,17
218.13619995117188,654.1361694335938,18
210.83253479003906,715.422119140625,19
221.85647583007812,761.69580078125,20
238.97256469726562,794.8067626953125,21
256.6354064941406,817.18798828125,22
265.6872253417969,842.6192626953125,23
274.12139892578125,863.2393188476562,24
286.3630065917969,871.363037109375,25
296.1566162109375,874.1566162109375,26
306.851318359375,872.851318359375,27
318.53863525390625,872.9024658203125,28
328.47003173828125,875.5814208984375,29
346.4295959472656,871.9427490234375,30
360.7972412109375,870.185546875,31
383.67291259765625,861.2322998046875,32
395.8497619628906,860.16162109375,33
409.8256530761719,854.44287109375,34
430.2981872558594,846.2989501953125,35
442.1166076660156,850.9038696289062,36
462.75653076171875,849.5441284179688,37
482.6050109863281,852.9052124023438,38
500.276123046875,858.8019409179688,39
509.7416076660156,864.607177734375,40
518.8836059570312,865.5076904296875,41
519.0145263671875,869.9928588867188,42
510.6744384765625,872.8071899414062,43
494.257568359375,875.4254150390625,44
476.7380065917969,874.738037109375,45
461.7462158203125,868.8058471679688,46
443.18896484375,867.18896484375,47
416.87371826171875,874.5416870117188,48
396.1649475097656,875.1649780273438,49
377.5057067871094,874.6356201171875,50
358.70599365234375,877.0425415039062,51
340.9609375,878.9609375,52
319.2897644042969,881.6951293945312,53
298.5526428222656,882.5526733398438,54
286.756591796875,877.8373413085938,55
278.88555908203125,873.755615234375,56
273.3097229003906,873.4558715820312,57
274.2999267578125,867.9219360351562,58
269.1621398925781,869.2496948242188,59
269.3056640625,867.0364990234375,60
269.3798828125,863.8383178710938,61
264.6864929199219,868.6865234375,62
263.62384033203125,872.6655883789062,63
268.3541564941406,867.3541870117188,64
269.7025146484375,862.0783081054688,65
267.64117431640625,862.575927734375,66
268.537109375,868.5014038085938,67
266.68316650390625,885.8317260742188,68
262.97186279296875,912.5492553710938,69
267.7338562011719,936.8815307617188,70
277.2822570800781,958.37451171875,71
284.49609375,981.594970703125,72
291.799072265625,1002.9414672851562,73
301.7906188964844,1024.833984375,74
307.24517822265625,1049.517578125,75
308.894775390625,1073.065673828125,76
317.289794921875,1086.1822509765625,77
326.8660583496094,1097.7772216796875,78
340.43646240234375,1101.97119140625,79
357.160888671875,1100.81787109375,80
371.9937744140625,1100.3924560546875,81
389.5610656738281,1096.1756591796875,82
411.8556823730469,1084.7998046875,83
425.0914306640625,1085.8424072265625,84
442.39453125,1087.8292236328125,85
468.8351745605469,1085.376220703125,86
487.64605712890625,1090.132080078125,87
509.42333984375,1092.091552734375,88
525.4968872070312,1095.0213623046875,89
540.408203125,1093.122802734375,90
545.0043334960938,1095.830810546875,91
539.9375610351562,1099.9952392578125,0
