X,Y,Frame
677.8689575195312,580.5838012695312,0
644.4779052734375,551.6299438476562,1
627.25390625,525.2003784179688,2
609.4049682617188,511.5522766113281,3
597.3389892578125,502.5981750488281,4
589.6466674804688,500.8125305175781,5
588.1122436523438,496.2052917480469,6
582.276611328125,490.36297607421875,7
572.0795288085938,477.171142578125,8
558.8204345703125,454.78662109375,9
542.2470703125,428.1573486328125,10
519.2120361328125,402.2606201171875,11
490.7547912597656,372.8996276855469,12
460.4898376464844,345.6126708984375,13
421.2976379394531,336.224853515625,14
395.16510009765625,316.3225402832031,15
372.1864929199219,300.5174865722656,16
342.6536560058594,313.2752380371094,17
301.5899963378906,366.1249084472656,18
285.9582824707031,402.68389892578125,19
272.3621520996094,436.6576843261719,20
253.1141357421875,476.91693115234375,21
235.62203979492188,514.0615844726562,22
234.40943908691406,543.8218994140625,23
230.14138793945312,583.2719116210938,24
234.39324951171875,626.9021606445312,25
253.9263153076172,677.7102661132812,26
284.7080078125,722.8806762695312,27
307.6124572753906,790.7324829101562,28
343.5404052734375,837.6595458984375,29
381.8558654785156,872.7225952148438,30
416.5755615234375,904.5131225585938,31
451.5123596191406,941.5188598632812,32
471.1370544433594,992.5209350585938,33
481.04241943359375,1045.07958984375,34
486.6875305175781,1088.1380615234375,35
479.15301513671875,1127.2681884765625,36
458.4550476074219,1158.0755615234375,37
431.77496337890625,1181.9599609375,38
404.39544677734375,1187.76220703125,39
360.6188659667969,1184.5220947265625,40
316.6283264160156,1169.9354248046875,41
278.0223083496094,1144.1966552734375,42
248.33322143554688,1108.1710205078125,43
220.53262329101562,1068.0633544921875,44
195.46092224121094,1028.1939697265625,45
176.13150024414062,998.7308349609375,46
153.27627563476562,988.3698120117188,47
131.9085235595703,986.2643432617188,48
127.83185577392578,972.6355590820312,49
129.7393035888672,961.2611694335938,50
124.608642578125,966.6790161132812,0
