X,Y,Frame
86.9662857055664,964.9600830078125,0
100.18000793457031,959.730224609375,1
104.72015380859375,961.2092895507812,2
108.98600006103516,964.7656860351562,3
111.28018951416016,968.6444091796875,4
109.39270782470703,970.535888671875,5
111.58818054199219,960.9159545898438,6
121.55115509033203,928.8184204101562,7
116.87821960449219,894.7950439453125,8
106.66531372070312,864.2487182617188,9
103.44943237304688,834.4890747070312,10
111.00992584228516,792.2337646484375,11
119.25839233398438,742.2583618164062,12
133.17579650878906,673.9478149414062,13
132.2645721435547,621.2645874023438,14
127.49755859375,576.4054565429688,15
129.38314819335938,534.3831176757812,16
146.6570587158203,490.8676452636719,17
157.49879455566406,457.3539733886719,18
158.39463806152344,435.3946533203125,19
161.0692596435547,418.5985412597656,20
167.41265869140625,419.41265869140625,21
172.19627380371094,447.2374267578125,22
182.29718017578125,499.3493957519531,23
207.7261505126953,553.587890625,24
233.0843505859375,596.5122680664062,25
249.84262084960938,645.595458984375,26
263.11785888671875,709.3294677734375,27
277.2594909667969,776.2655029296875,28
303.9639587402344,810.9639282226562,29
319.0865173339844,844.879638671875,30
328.2241516113281,878.2241821289062,31
338.7554626464844,896.6307373046875,32
360.9366455078125,883.4622802734375,33
375.336181640625,856.7687377929688,34
374.19891357421875,829.8375244140625,35
368.7745056152344,800.1096801757812,36
374.3761901855469,757.7363891601562,37
379.2816467285156,710.939208984375,38
382.56744384765625,655.80908203125,39
389.3996276855469,603.9136962890625,40
392.3993835449219,564.8731689453125,41
406.0966796875,519.6380615234375,42
430.4755859375,462.4523620605469,43
456.9322814941406,405.90130615234375,44
458.75836181640625,384.5195007324219,45
446.112548828125,419.46234130859375,46
430.1265563964844,509.5611572265625,47
451.6257019042969,572.7706909179688,48
477.61053466796875,635.113525390625,49
506.8192138671875,690.5393676757812,50
522.8016967773438,757.4830932617188,51
538.1263427734375,825.4985961914062,52
555.5216064453125,883.0448608398438,53
572.4678344726562,928.1808471679688,54
583.2348022460938,972.6630859375,55
603.1561279296875,996.2194213867188,56
618.6703491210938,1021.7853393554688,57
623.8274536132812,1040.1319580078125,58
625.2859497070312,1029.104736328125,0
