X,Y,Frame
239.73548889160156,577.0354614257812,0
242.612060546875,581.6421508789062,1
256.5894775390625,573.8931274414062,2
267.3684387207031,567.8933715820312,3
259.2610168457031,592.6656494140625,4
268.575927734375,598.4197998046875,5
273.1868591308594,613.2894287109375,6
275.10443115234375,635.5604858398438,7
222.6019744873047,804.437744140625,8
266.8307189941406,852.8306884765625,9
293.890869140625,897.1154174804688,10
309.7248840332031,929.724853515625,11
327.92205810546875,940.5213012695312,12
337.9626770019531,947.962646484375,13
347.9366455078125,950.7440795898438,14
533.6949462890625,799.8656005859375,15
546.101318359375,807.101318359375,16
549.540283203125,808.476806640625,17
536.6085205078125,821.6085205078125,18
524.2882690429688,835.3067626953125,19
514.56787109375,835.7854614257812,20
506.5314636230469,830.4805908203125,21
525.559326171875,762.3994750976562,22
518.0660400390625,677.0960083007812,23
491.5802001953125,611.6588745117188,24
487.8789978027344,500.01409912109375,25
483.0779724121094,375.0779724121094,26
419.1949768066406,266.6932373046875,27
323.8655090332031,213.86550903320312,28
245.70921325683594,204.80709838867188,29
190.68055725097656,229.718505859375,30
171.79931640625,249.33953857421875,31
167.5088348388672,283.03533935546875,32
188.95147705078125,301.9366455078125,33
226.7176971435547,452.204345703125,34
278.1940612792969,608.904541015625,35
336.783203125,766.0518188476562,36
428.45025634765625,847.1237182617188,37
594.6803588867188,704.6455078125,38
583.3632202148438,734.470947265625,39
571.382568359375,757.8614501953125,40
570.3202514648438,757.3609619140625,41
565.2984619140625,751.2979736328125,42
559.563232421875,739.4317626953125,43
546.177490234375,736.3248901367188,44
516.984619140625,775.7681884765625,45
478.1131286621094,845.5242919921875,46
488.447509765625,853.3477783203125,47
495.8768310546875,855.7948608398438,48
