X,Y,Frame
444.020751953125,756.467529296875,0
443.45123291015625,758.474609375,1
449.8173522949219,758.6377563476562,2
462.23468017578125,751.9776611328125,3
466.5743408203125,753.4901733398438,4
468.6744689941406,755.670166015625,5
471.04107666015625,757.0040893554688,6
475.6506652832031,753.540771484375,7
478.2163391113281,739.790771484375,8
476.86370849609375,705.4342041015625,9
479.7824401855469,652.3558959960938,10
476.7465515136719,596.0689086914062,11
475.3646240234375,536.9285888671875,12
463.07916259765625,493.7095031738281,13
454.586669921875,448.7237854003906,14
443.2936096191406,406.94012451171875,15
428.7880859375,372.366455078125,16
412.82000732421875,342.69183349609375,17
386.09210205078125,324.4103088378906,18
353.7261657714844,308.9957275390625,19
308.14935302734375,317.6300354003906,20
256.309814453125,340.3139343261719,21
220.81101989746094,358.2264709472656,22
196.44912719726562,380.06317138671875,23
167.82342529296875,423.68804931640625,24
146.7581024169922,486.8459167480469,25
148.702880859375,560.5018920898438,26
163.5335235595703,654.5302124023438,27
184.1588592529297,758.1998291015625,28
210.4180450439453,857.3060913085938,29
252.07994079589844,937.9419555664062,30
287.62249755859375,1011.0350341796875,31
318.58441162109375,1074.2525634765625,32
367.7056884765625,1095.255615234375,33
406.8380126953125,1114.1634521484375,34
432.7666320800781,1125.5025634765625,35
450.6407165527344,1115.7928466796875,36
467.2635498046875,1080.52392578125,37
486.3388671875,1032.5078125,38
489.53570556640625,999.0150146484375,39
489.884765625,961.8489379882812,40
484.1144104003906,921.6364135742188,41
479.3799133300781,871.1586303710938,42
481.4156799316406,803.493896484375,43
460.4540100097656,761.9163208007812,44
440.82452392578125,733.7120361328125,45
433.75189208984375,701.0977172851562,46
436.6053466796875,663.0791625976562,47
433.3097839355469,633.66259765625,48
436.1798095703125,602.7567749023438,49
441.6429443359375,579.9600830078125,50
446.19732666015625,569.0216674804688,51
448.6335754394531,557.3262329101562,52
460.41827392578125,539.057861328125,53
464.02801513671875,533.87060546875,54
468.681884765625,530.6146850585938,55
471.59124755859375,531.6141967773438,56
466.484375,541.7182006835938,57
463.19140625,547.4894409179688,0
