epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71982,1.43635,2.82662,1.46879,0.00333,1,0.90529,0.4304,1.36513,2.84316,1.52174,8e-05,8e-05,8e-05
2,4.30532,1.44762,2.76861,1.4195,0.00333,1,0.87922,0.40881,1.50556,2.88913,1.84573,0.000179406,0.000179406,0.000179406
3,5.90777,1.22561,1.98676,1.25072,0.00333,1,0.93136,0.36553,1.65327,2.4871,1.70125,0.000278152,0.000278152,0.000278152
4,7.40852,1.11455,1.41794,1.14171,0.00333,1,0.98667,0.49176,1.59889,2.36022,1.66945,0.000376238,0.000376238,0.000376238
5,9.12764,1.07366,1.27937,1.17195,0.00333,1,0.96018,0.50928,1.28229,2.47713,1.39733,0.000473664,0.000473664,0.000473664
6,10.7058,0.99251,1.18024,1.11519,0.18019,1,0.96455,0.57438,1.21605,2.30524,1.23173,0.00057043,0.00057043,0.00057043
7,13.0823,1.00067,1.1564,1.12235,0.99819,1,0.995,0.61425,1.18796,1.65258,1.19266,0.000666536,0.000666536,0.000666536
8,14.6743,0.94661,1.20605,1.08426,0.93738,0.7,0.93986,0.55847,1.11665,2.10456,1.15155,0.000761982,0.000761982,0.000761982
9,16.1618,0.90746,1.09765,1.0788,0.87298,0.95,0.94615,0.49221,1.31439,1.75724,1.46864,0.000856768,0.000856768,0.000856768
10,17.6216,1.02487,1.1082,1.18446,0.80588,0.9,0.89797,0.61454,1.21852,1.19902,1.41331,0.000950894,0.000950894,0.000950894
11,19.0699,1.04143,1.14049,1.14572,0.80201,0.9,0.8908,0.55503,1.19754,1.46113,1.39372,0.00104436,0.00104436,0.00104436
12,20.5223,0.94414,1.10009,1.14523,0.54932,0.7,0.64554,0.29827,1.69187,1.86904,1.7049,0.00113717,0.00113717,0.00113717
13,21.9487,0.91522,1.00218,1.07055,0.42165,0.75,0.54208,0.22127,1.87179,2.50751,1.98468,0.00122931,0.00122931,0.00122931
14,23.4092,0.90532,0.96155,1.08556,0.30324,0.30485,0.33105,0.12662,2.25892,2.6319,2.34213,0.0013208,0.0013208,0.0013208
15,24.8768,0.98437,1.03223,1.11185,0.82199,0.4,0.43251,0.15283,1.8049,2.92487,2.50785,0.00141162,0.00141162,0.00141162
16,26.309,0.99423,1.00887,1.16725,0.80231,0.3,0.32478,0.07747,2.45928,3.60566,3.06332,0.00150179,0.00150179,0.00150179
17,27.7982,0.95982,1.05005,1.12236,0.38572,0.1,0.10652,0.01214,2.12827,4.02455,2.66222,0.0015913,0.0015913,0.0015913
18,29.3207,0.92082,0.90878,1.07965,0.06402,0.1,0.0169,0.00515,2.42366,4.41754,3.00143,0.00168014,0.00168014,0.00168014
19,30.7665,0.88454,0.90363,1.05829,0.90337,0.1,0.11915,0.06452,2.76207,3.60064,3.17451,0.00176833,0.00176833,0.00176833
20,32.1986,0.8624,0.85537,1.08214,0.43929,0.2,0.15318,0.05061,3.29409,3.30481,3.50897,0.00185585,0.00185585,0.00185585
21,33.6545,0.8193,0.81269,1.05299,0.10399,0.05,0.09825,0.02427,3.41969,3.20777,3.35742,0.001868,0.001868,0.001868
22,35.1036,0.85909,0.83927,1.05217,0.24831,0.1,0.11758,0.02649,3.12086,3.01977,2.86741,0.0018614,0.0018614,0.0018614
23,36.5871,0.8259,0.83285,1.05663,0.66115,0.19587,0.22819,0.04776,2.92045,2.65209,2.58107,0.0018548,0.0018548,0.0018548
24,38.0561,1.03123,0.94886,1.13042,0.72354,0.45,0.49481,0.26444,2.44656,1.90862,2.18735,0.0018482,0.0018482,0.0018482
25,39.5838,0.91221,0.86028,1.07232,0.9313,0.67866,0.85766,0.50711,1.37065,1.7388,1.4119,0.0018416,0.0018416,0.0018416
26,41.0482,0.89841,0.82306,1.08416,0.97095,0.75,0.93084,0.52954,1.512,1.63746,1.46876,0.001835,0.001835,0.001835
27,42.5063,0.89545,0.86793,1.05605,0.89411,0.84464,0.93151,0.63341,1.20442,1.79942,1.24076,0.0018284,0.0018284,0.0018284
28,44.0464,0.85676,0.79085,1.04116,0.89363,0.9,0.97333,0.68624,1.09681,1.6618,1.17728,0.0018218,0.0018218,0.0018218
29,45.5815,0.90228,0.78415,1.10081,0.96144,0.9,0.98795,0.71903,1.07839,1.38028,1.12018,0.0018152,0.0018152,0.0018152
30,47.1088,0.83849,0.785,1.01441,0.97656,1,0.995,0.75146,0.94063,1.17701,1.05441,0.0018086,0.0018086,0.0018086
31,48.6368,0.83593,0.78263,1.04743,0.98388,1,0.995,0.70829,0.94192,1.06534,1.05236,0.001802,0.001802,0.001802
32,50.0794,0.79552,0.7311,1.01992,0.99511,1,0.995,0.6105,1.17975,0.85003,1.23986,0.0017954,0.0017954,0.0017954
33,51.5173,0.76423,0.73477,1.00796,0.9908,1,0.995,0.61357,1.11378,0.82232,1.22508,0.0017888,0.0017888,0.0017888
34,52.934,0.85925,0.76238,1.03661,0.99436,1,0.995,0.71278,1.03682,0.73307,1.20692,0.0017822,0.0017822,0.0017822
35,54.3742,0.86233,0.74903,1.03655,0.99247,1,0.995,0.6911,1.11381,0.71989,1.26209,0.0017756,0.0017756,0.0017756
36,55.8155,0.87096,0.78041,1.08465,0.69744,1,0.8668,0.45562,1.70924,1.06966,1.56437,0.001769,0.001769,0.001769
37,57.2276,0.87259,0.73709,1.07173,0.8383,0.8,0.83741,0.41432,1.70809,1.22602,1.56522,0.0017624,0.0017624,0.0017624
38,58.6628,0.86045,0.69413,1.04521,0.75437,0.76836,0.88042,0.49126,1.73238,1.0846,1.71158,0.0017558,0.0017558,0.0017558
39,60.1241,0.90893,0.75217,1.07988,0.83113,0.98481,0.94157,0.56961,1.42064,0.98038,1.49164,0.0017492,0.0017492,0.0017492
40,61.6122,0.74408,0.68089,1.0127,0.99048,1,0.995,0.59751,1.25699,0.9242,1.27478,0.0017426,0.0017426,0.0017426
41,63.01,0.79598,0.68392,1.03547,0.98239,1,0.995,0.49696,1.50656,0.97213,1.4063,0.001736,0.001736,0.001736
