epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60023,0.70525,2.6285,0.96649,0.00333,1,0.995,0.97058,0.30357,2.46636,0.85287,4e-05,4e-05,4e-05
2,2.61214,0.65175,2.64069,0.97758,0.00333,1,0.995,0.95047,0.31149,2.46731,0.85409,9.967e-05,9.967e-05,9.967e-05
3,3.5823,0.61915,2.34388,0.95454,0.00333,1,0.995,0.88807,0.45623,2.37137,0.87152,0.000158944,0.000158944,0.000158944
4,4.61861,0.51702,1.34043,0.86783,0.96393,1,0.995,0.92004,0.4499,1.95628,0.89134,0.000217822,0.000217822,0.000217822
5,5.63803,0.62187,0.8829,0.90541,0.99028,1,0.995,0.87655,0.60062,1.15523,0.98158,0.000276304,0.000276304,0.000276304
6,6.65143,0.48432,0.92915,0.8861,0.99476,1,0.995,0.88359,0.5533,0.85435,0.95489,0.00033439,0.00033439,0.00033439
7,7.65137,0.57947,0.74169,0.96316,0.99503,1,0.995,0.89269,0.43747,0.85074,0.87868,0.00039208,0.00039208,0.00039208
8,8.63897,0.55206,0.84472,0.95222,0.99463,1,0.995,0.90906,0.43315,0.93737,0.86612,0.000449374,0.000449374,0.000449374
9,9.6773,0.52362,0.74576,0.97588,0.99151,1,0.995,0.88928,0.52962,1.16832,0.88342,0.000506272,0.000506272,0.000506272
10,10.6635,0.49391,0.8373,0.88184,0.99052,1,0.995,0.88728,0.5086,1.18761,0.88906,0.000562774,0.000562774,0.000562774
11,11.6579,0.55298,0.8158,0.914,0.99344,1,0.995,0.8576,0.59031,1.21355,0.89778,0.00061888,0.00061888,0.00061888
12,12.6196,0.6397,0.82783,1.012,0.98483,1,0.995,0.84469,0.61192,1.39729,0.90952,0.00067459,0.00067459,0.00067459
13,13.6019,0.58602,0.78594,0.9362,0.98144,1,0.995,0.89687,0.56345,1.36451,0.95278,0.000729904,0.000729904,0.000729904
14,14.5869,0.59539,0.74998,0.91637,0.98107,1,0.995,0.88352,0.6153,1.30935,0.95278,0.000784822,0.000784822,0.000784822
15,15.5944,0.58463,0.77752,0.94295,0.95272,1,0.995,0.84078,0.64522,1.48451,0.951,0.000839344,0.000839344,0.000839344
16,16.6114,0.59061,0.8295,0.94689,0.96887,1,0.995,0.84864,0.635,1.47791,0.9858,0.00089347,0.00089347,0.00089347
17,17.6175,0.5972,0.77763,0.97937,0.98409,1,0.995,0.86153,0.63703,1.46249,1.00139,0.0009472,0.0009472,0.0009472
18,18.5852,0.58236,0.78472,0.89961,0.98663,1,0.995,0.85617,0.63524,1.29514,1.03192,0.00100053,0.00100053,0.00100053
19,19.558,0.5395,0.72978,0.8849,0.99104,1,0.995,0.85268,0.69968,0.98411,1.12916,0.00105347,0.00105347,0.00105347
20,20.5417,0.5394,0.71704,0.89092,0.99468,1,0.995,0.7976,0.71068,0.82812,1.06843,0.00110601,0.00110601,0.00110601
21,21.513,0.54002,0.67356,0.88597,0.99426,1,0.995,0.84221,0.59769,0.86306,0.92782,0.00115816,0.00115816,0.00115816
22,22.506,0.60024,0.71986,0.92293,0.99476,1,0.995,0.88593,0.53443,0.70099,0.88047,0.00120991,0.00120991,0.00120991
23,23.4917,0.6465,0.76308,0.95302,0.99476,1,0.995,0.8955,0.51207,0.69685,0.87814,0.00126126,0.00126126,0.00126126
24,24.4809,0.56046,0.71238,0.88358,0.99517,1,0.995,0.8607,0.56215,0.72661,0.9103,0.00131222,0.00131222,0.00131222
25,25.4729,0.61309,0.74435,0.94758,0.99409,1,0.995,0.82575,0.61822,0.67598,0.92348,0.00136278,0.00136278,0.00136278
26,26.4461,0.62779,0.77894,0.96842,0.99369,1,0.995,0.82417,0.57885,0.66949,0.935,0.00141295,0.00141295,0.00141295
27,27.442,0.47861,0.70855,0.91014,0.9941,1,0.995,0.78372,0.61624,0.74351,0.93751,0.00146272,0.00146272,0.00146272
28,28.431,0.54236,0.70876,0.8823,0.99425,1,0.995,0.93254,0.57416,0.74302,0.93065,0.00151209,0.00151209,0.00151209
29,29.408,0.51229,0.66187,0.89943,0.99425,1,0.995,0.93254,0.57416,0.74302,0.93065,0.00156107,0.00156107,0.00156107
30,30.3683,0.56503,0.66074,0.91699,0.99478,1,0.995,0.82485,0.54097,0.76705,0.92017,0.00160965,0.00160965,0.00160965
31,31.3521,0.53965,0.72293,0.92187,0.9933,1,0.995,0.77909,0.58939,0.7819,0.92608,0.00165784,0.00165784,0.00165784
32,32.3274,0.56699,0.74926,0.95441,0.99275,1,0.995,0.86484,0.49918,0.73792,0.89218,0.00170563,0.00170563,0.00170563
33,33.2848,0.57196,0.72499,0.89739,0.99275,1,0.995,0.86484,0.49918,0.73792,0.89218,0.00175302,0.00175302,0.00175302
34,34.268,0.49137,0.65534,0.88503,0.99452,1,0.995,0.8585,0.46236,0.69701,0.91007,0.0017822,0.0017822,0.0017822
35,35.2467,0.49163,0.63478,0.89754,0.995,1,0.995,0.88357,0.48901,0.58972,0.9269,0.0017756,0.0017756,0.0017756
36,36.2327,0.48397,0.57884,0.87971,0.99437,1,0.995,0.95618,0.43325,0.55843,0.89479,0.001769,0.001769,0.001769
37,37.2106,0.53451,0.62165,0.92544,0.99437,1,0.995,0.95618,0.43325,0.55843,0.89479,0.0017624,0.0017624,0.0017624
38,38.1939,0.44466,0.57428,0.89123,0.99352,1,0.995,0.94214,0.42694,0.60872,0.88489,0.0017558,0.0017558,0.0017558
39,39.1768,0.50901,0.605,0.92069,0.99445,1,0.995,0.8967,0.49074,0.60085,0.91161,0.0017492,0.0017492,0.0017492
40,40.2136,0.45751,0.58916,0.88221,0.99424,1,0.995,0.90886,0.46453,0.58033,0.87863,0.0017426,0.0017426,0.0017426
41,41.6199,0.53667,0.63741,0.90739,0.99424,1,0.995,0.90886,0.46453,0.58033,0.87863,0.001736,0.001736,0.001736
42,42.99,0.52201,0.62557,0.90691,0.99464,1,0.995,0.92451,0.47285,0.55175,0.88913,0.0017294,0.0017294,0.0017294
43,43.9813,0.56514,0.59416,0.93839,0.9943,1,0.995,0.90904,0.51583,0.60922,0.93983,0.0017228,0.0017228,0.0017228
44,44.9625,0.50126,0.5591,0.91172,0.99437,1,0.995,0.88591,0.54901,0.75174,0.97582,0.0017162,0.0017162,0.0017162
45,45.9311,0.53932,0.64755,0.92475,0.99437,1,0.995,0.88591,0.54901,0.75174,0.97582,0.0017096,0.0017096,0.0017096
46,46.9063,0.50172,0.56586,0.94485,0.99504,1,0.995,0.90528,0.50179,0.66204,0.90427,0.001703,0.001703,0.001703
47,47.8739,0.52721,0.55098,0.92796,0.99494,1,0.995,0.89943,0.50852,0.63671,0.89581,0.0016964,0.0016964,0.0016964
48,48.8715,0.56097,0.57849,0.96083,0.99481,1,0.995,0.89127,0.50314,0.58519,0.90879,0.0016898,0.0016898,0.0016898
49,49.8449,0.5619,0.57544,0.92491,0.99481,1,0.995,0.89127,0.50314,0.58519,0.90879,0.0016832,0.0016832,0.0016832
50,50.826,0.53406,0.5547,0.92202,0.99474,1,0.995,0.90502,0.49875,0.54472,0.91881,0.0016766,0.0016766,0.0016766
51,51.7823,0.59466,0.67323,1.00233,0.9948,1,0.995,0.92504,0.4306,0.5789,0.87796,0.00167,0.00167,0.00167
52,53.4572,0.51617,0.55511,0.86536,0.95851,1,0.995,0.88952,0.47938,0.67031,0.88601,0.0016634,0.0016634,0.0016634
53,54.6368,0.4537,0.52216,0.88746,0.95851,1,0.995,0.88952,0.47938,0.67031,0.88601,0.0016568,0.0016568,0.0016568
54,55.6574,0.48645,0.52581,0.91138,0.99444,1,0.995,0.9047,0.56436,0.65247,0.91972,0.0016502,0.0016502,0.0016502
55,56.6647,0.4847,0.53257,0.88379,0.99422,1,0.995,0.90695,0.48159,0.54319,0.89103,0.0016436,0.0016436,0.0016436
56,57.7042,0.52756,0.60118,0.96903,0.99466,1,0.995,0.89742,0.44373,0.48353,0.88638,0.001637,0.001637,0.001637
57,58.6661,0.48774,0.51309,0.90721,0.99466,1,0.995,0.89742,0.44373,0.48353,0.88638,0.0016304,0.0016304,0.0016304
58,59.6562,0.438,0.47996,0.8826,0.99509,1,0.995,0.90203,0.46163,0.47657,0.88493,0.0016238,0.0016238,0.0016238
59,60.6473,0.50325,0.49668,0.91339,0.9951,1,0.995,0.91824,0.41911,0.42713,0.8708,0.0016172,0.0016172,0.0016172
60,61.6326,0.47036,0.50682,0.90137,0.99501,1,0.995,0.90439,0.37849,0.39644,0.86851,0.0016106,0.0016106,0.0016106
61,62.569,0.44721,0.48948,0.88193,0.99501,1,0.995,0.90439,0.37849,0.39644,0.86851,0.001604,0.001604,0.001604
62,63.5404,0.46151,0.50141,0.90022,0.99494,1,0.995,0.92029,0.42147,0.40052,0.87882,0.0015974,0.0015974,0.0015974
63,64.5246,0.4775,0.47298,0.91688,0.99514,1,0.995,0.90537,0.40378,0.37678,0.86677,0.0015908,0.0015908,0.0015908
64,65.5109,0.45988,0.45603,0.8731,0.99491,1,0.995,0.92355,0.36545,0.4176,0.85349,0.0015842,0.0015842,0.0015842
65,66.4686,0.42523,0.51471,0.88704,0.99491,1,0.995,0.92355,0.36545,0.4176,0.85349,0.0015776,0.0015776,0.0015776
66,67.4712,0.52692,0.53843,0.92934,0.99441,1,0.995,0.88134,0.42453,0.46928,0.86121,0.001571,0.001571,0.001571
67,68.4493,0.47658,0.4806,0.88105,0.99319,1,0.995,0.91219,0.44279,0.58082,0.86683,0.0015644,0.0015644,0.0015644
68,69.4892,0.45371,0.45784,0.85989,0.9903,1,0.995,0.90818,0.42761,0.66824,0.86457,0.0015578,0.0015578,0.0015578
69,70.4603,0.44025,0.47245,0.88237,0.9903,1,0.995,0.90818,0.42761,0.66824,0.86457,0.0015512,0.0015512,0.0015512
70,71.4311,0.4575,0.49944,0.94448,0.98487,1,0.995,0.91254,0.38221,0.67541,0.85966,0.0015446,0.0015446,0.0015446
71,72.4431,0.47159,0.47702,0.92403,0.98287,1,0.995,0.92216,0.39736,0.69088,0.86084,0.001538,0.001538,0.001538
72,73.4399,0.44368,0.45326,0.88237,0.9861,1,0.995,0.90851,0.39663,0.59407,0.8595,0.0015314,0.0015314,0.0015314
73,74.4093,0.41412,0.43402,0.9154,0.9861,1,0.995,0.90851,0.39663,0.59407,0.8595,0.0015248,0.0015248,0.0015248
74,75.3941,0.45306,0.52525,0.89953,0.98625,1,0.995,0.93506,0.37438,0.59886,0.86329,0.0015182,0.0015182,0.0015182
75,76.3672,0.47345,0.46487,0.89143,0.9889,1,0.995,0.94704,0.37869,0.50468,0.86462,0.0015116,0.0015116,0.0015116
76,77.3469,0.40358,0.4447,0.86751,0.99206,1,0.995,0.93522,0.37123,0.39713,0.86157,0.001505,0.001505,0.001505
77,78.3297,0.46345,0.49024,0.88372,0.99206,1,0.995,0.93522,0.37123,0.39713,0.86157,0.0014984,0.0014984,0.0014984
78,79.3168,0.47754,0.4594,0.90026,0.99362,1,0.995,0.9657,0.37833,0.38843,0.85941,0.0014918,0.0014918,0.0014918
79,80.3104,0.4663,0.47736,0.94,0.99422,1,0.995,0.91998,0.3689,0.40111,0.85576,0.0014852,0.0014852,0.0014852
80,81.3016,0.40636,0.42055,0.87314,0.99419,1,0.995,0.90573,0.39961,0.37718,0.86625,0.0014786,0.0014786,0.0014786
81,82.2668,0.43655,0.41659,0.90356,0.99419,1,0.995,0.90573,0.39961,0.37718,0.86625,0.001472,0.001472,0.001472
82,83.2403,0.46257,0.43953,0.89566,0.99258,1,0.995,0.9044,0.43544,0.37686,0.87245,0.0014654,0.0014654,0.0014654
83,84.2724,0.42193,0.41156,0.88282,0.99114,1,0.995,0.91008,0.39697,0.38458,0.85813,0.0014588,0.0014588,0.0014588
84,85.2573,0.43741,0.41874,0.88266,0.98879,1,0.995,0.89722,0.41758,0.39512,0.85724,0.0014522,0.0014522,0.0014522
85,86.2208,0.47914,0.43329,0.96136,0.98879,1,0.995,0.89722,0.41758,0.39512,0.85724,0.0014456,0.0014456,0.0014456
86,87.1987,0.52512,0.43499,0.93214,0.98369,1,0.995,0.89015,0.43269,0.41132,0.86492,0.001439,0.001439,0.001439
87,88.1995,0.45446,0.43367,0.86532,0.99015,1,0.995,0.90015,0.45555,0.41167,0.89439,0.0014324,0.0014324,0.0014324
88,89.1746,0.44795,0.41822,0.889,0.99386,1,0.995,0.89648,0.48435,0.40198,0.89624,0.0014258,0.0014258,0.0014258
89,90.1571,0.53328,0.44433,0.93451,0.99386,1,0.995,0.89648,0.48435,0.40198,0.89624,0.0014192,0.0014192,0.0014192
90,91.1394,0.44041,0.44798,0.91774,0.99438,1,0.995,0.90508,0.42663,0.4275,0.8768,0.0014126,0.0014126,0.0014126
91,92.128,0.47492,0.45792,0.91139,0.99444,1,0.995,0.96678,0.35243,0.41238,0.86026,0.001406,0.001406,0.001406
92,93.1146,0.44914,0.43947,0.88611,0.99405,1,0.995,0.9326,0.33558,0.43508,0.85479,0.0013994,0.0013994,0.0013994
93,94.1159,0.4476,0.41735,0.90503,0.99405,1,0.995,0.9326,0.33558,0.43508,0.85479,0.0013928,0.0013928,0.0013928
94,95.1159,0.40635,0.40493,0.88818,0.99369,1,0.995,0.93011,0.36787,0.45795,0.87875,0.0013862,0.0013862,0.0013862
95,96.1082,0.46287,0.40864,0.91641,0.99381,1,0.995,0.92412,0.41961,0.4538,0.91226,0.0013796,0.0013796,0.0013796
96,97.4275,0.38942,0.41414,0.88853,0.99412,1,0.995,0.91038,0.44597,0.44691,0.89154,0.001373,0.001373,0.001373
97,98.5374,0.42803,0.41176,0.86836,0.99412,1,0.995,0.91038,0.44597,0.44691,0.89154,0.0013664,0.0013664,0.0013664
98,99.5558,0.45487,0.44576,0.95079,0.99468,1,0.995,0.92752,0.41972,0.40745,0.87443,0.0013598,0.0013598,0.0013598
99,100.583,0.45755,0.42752,0.91841,0.99485,1,0.995,0.91482,0.40922,0.3747,0.87717,0.0013532,0.0013532,0.0013532
100,101.558,0.38842,0.37922,0.85668,0.995,1,0.995,0.91777,0.43892,0.39916,0.88902,0.0013466,0.0013466,0.0013466
101,102.558,0.42785,0.40908,0.91056,0.995,1,0.995,0.91777,0.43892,0.39916,0.88902,0.00134,0.00134,0.00134
