epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11595,1.21896,3.43029,1.00607,0.00333,1,0.66389,0.52067,0.60507,3.0613,0.79284,0.00024,0.00024,0.00024
2,8.88806,0.82424,1.44236,0.90366,0.00333,1,0.57193,0.42273,0.53791,2.96687,0.77545,0.00049505,0.00049505,0.00049505
3,12.3632,0.71171,1.10485,0.89013,0.00333,1,0.07477,0.06069,0.59513,3.06753,0.80099,0.000744952,0.000744952,0.000744952
4,15.7805,0.79753,1.068,0.89396,0.00333,1,0.01139,0.00913,0.6923,3.33822,0.85479,0.000989706,0.000989706,0.000989706
5,19.0841,0.76584,1.04326,0.90117,0.00167,0.5,0.0019,0.0009,1.22603,4.07056,1.31792,0.00122931,0.00122931,0.00122931
6,22.4052,0.74767,1.03156,0.91424,1,0.19638,0.57011,0.48604,0.61315,2.81083,0.83853,0.00146377,0.00146377,0.00146377
7,25.6538,0.71973,0.90255,0.88691,1,0.89517,0.99383,0.82962,0.65037,1.85226,0.85893,0.00169308,0.00169308,0.00169308
8,28.995,0.70404,0.84295,0.90543,0.81476,0.94,0.91987,0.7558,0.65625,1.74981,0.85626,0.0018614,0.0018614,0.0018614
9,32.301,0.69728,0.80545,0.89352,0.80708,0.72,0.89502,0.73621,0.67156,1.96728,0.85932,0.0018416,0.0018416,0.0018416
10,35.72,0.74422,0.83078,0.92589,0.97927,0.98,0.99423,0.86323,0.58216,1.18531,0.85046,0.0018218,0.0018218,0.0018218
11,39.104,0.69754,0.76585,0.88546,1,0.65285,0.86082,0.75431,0.56499,1.29518,0.85793,0.001802,0.001802,0.001802
12,42.4136,0.66393,0.71451,0.88154,0.99796,1,0.995,0.86695,0.53074,0.77102,0.83649,0.0017822,0.0017822,0.0017822
13,45.8227,0.63662,0.69199,0.87715,0.99883,1,0.995,0.87417,0.5398,0.62857,0.84477,0.0017624,0.0017624,0.0017624
14,49.1888,0.60985,0.66206,0.86278,0.99865,1,0.995,0.88881,0.54149,0.6139,0.84623,0.0017426,0.0017426,0.0017426
15,52.557,0.62942,0.65668,0.87563,0.9989,1,0.995,0.90211,0.48841,0.54128,0.8258,0.0017228,0.0017228,0.0017228
16,56.0027,0.63799,0.60477,0.87627,0.99889,1,0.995,0.89184,0.50189,0.60764,0.8341,0.001703,0.001703,0.001703
17,59.3661,0.63135,0.58861,0.87941,0.99877,1,0.995,0.87543,0.5164,0.54079,0.85271,0.0016832,0.0016832,0.0016832
18,62.705,0.61202,0.57259,0.87398,0.99897,1,0.995,0.90559,0.48117,0.47722,0.84061,0.0016634,0.0016634,0.0016634
19,66.0691,0.608,0.56115,0.87879,0.99878,1,0.995,0.879,0.48417,0.4573,0.84832,0.0016436,0.0016436,0.0016436
20,69.4248,0.58545,0.53159,0.8885,0.99893,1,0.995,0.91343,0.43587,0.38537,0.8309,0.0016238,0.0016238,0.0016238
