epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59491,0.9674,2.75242,1.11798,0.00333,1,0.96397,0.80642,0.52298,2.54051,0.92384,8e-05,8e-05,8e-05
2,4.20812,0.98985,2.71776,1.12042,0.00333,1,0.81291,0.70069,0.59907,2.61397,0.98595,0.000179406,0.000179406,0.000179406
3,5.80977,0.70129,1.5581,0.97412,0.0113,0.71175,0.63237,0.54115,0.75952,2.69119,1.12032,0.000278152,0.000278152,0.000278152
4,7.29831,0.6246,1.06955,0.93212,1,0.18263,0.56394,0.49884,0.78115,2.74006,1.18589,0.000376238,0.000376238,0.000376238
5,8.78555,0.63969,1.02081,0.97834,1,0.91191,0.995,0.86525,0.55849,1.77862,0.90072,0.000473664,0.000473664,0.000473664
6,10.3283,0.66856,0.94443,0.95821,1,0.60324,0.995,0.86554,0.62271,2.10205,0.90575,0.00057043,0.00057043,0.00057043
7,11.9073,0.611,0.91,0.92526,1,0.9517,0.995,0.86211,0.59423,1.41421,0.91033,0.000666536,0.000666536,0.000666536
8,13.3573,0.5762,0.8989,0.92039,1,0.98982,0.995,0.8021,0.62862,1.06388,0.93385,0.000761982,0.000761982,0.000761982
9,14.8343,0.59115,0.88254,0.94709,1,0.99128,0.995,0.83524,0.63777,1.26585,0.91896,0.000856768,0.000856768,0.000856768
10,16.2818,0.65299,0.87853,0.93039,1,0.90597,0.985,0.80999,0.76038,1.44624,0.98295,0.000950894,0.000950894,0.000950894
11,17.7484,0.69615,0.88495,0.95436,0.94922,0.93527,0.97954,0.82458,0.72252,1.39589,0.97152,0.00104436,0.00104436,0.00104436
12,19.1977,0.63254,0.83087,0.95033,1,0.79582,0.93985,0.81984,0.67887,1.54879,0.92767,0.00113717,0.00113717,0.00113717
13,20.6239,0.59862,0.79171,0.9477,1,0.78763,0.90029,0.7402,0.67664,1.4152,0.94536,0.00122931,0.00122931,0.00122931
14,22.0719,0.61503,0.83642,0.93805,1,0.79845,0.93239,0.73016,0.75562,1.19834,0.96908,0.0013208,0.0013208,0.0013208
15,23.5079,0.62253,0.92533,0.93175,0.84153,0.79674,0.91311,0.65945,0.84388,1.62538,0.98482,0.00141162,0.00141162,0.00141162
16,24.9146,0.63694,0.84942,0.97248,0.70884,0.75,0.82554,0.62593,0.90652,1.98205,1.10599,0.00150179,0.00150179,0.00150179
17,26.3582,0.62434,0.84685,0.94823,0.58249,0.55,0.56779,0.24996,1.15584,2.73534,1.4252,0.0015913,0.0015913,0.0015913
18,27.7698,0.59698,0.79914,0.96993,0.86551,0.64395,0.78444,0.5888,0.86735,2.03378,1.0612,0.00168014,0.00168014,0.00168014
19,29.1801,0.58682,0.72913,0.9375,0.75729,0.95,0.88705,0.72202,0.6578,1.26523,0.94788,0.00176833,0.00176833,0.00176833
20,30.603,0.57966,0.74006,0.95285,0.94531,0.95,0.96063,0.80833,0.68136,1.01519,0.96563,0.00185585,0.00185585,0.00185585
